#,Product,Actual Price,Final Price (+30%)
1,"CapCut Pro Subscription (iOS, Android, PC) 1 Month — Private Account (Global)",\$1.10 USD,**\$1.43 USD**
2,"CapCut Pro Subscription (iOS, Android, PC) 1 Month — Private Account (Global)",\$2.31 USD,**\$3.00 USD**
3,"CapCut Pro Subscription (Browser, PC) 1 Month — Private Account (Global)",\$6.86 USD,**\$8.92 USD**
4,CapCut Team Subscription 1 Month — Private Account (Global),\$8.51 USD,**\$11.06 USD**
5,CapCut Pro Subscription 1 Month (US),\$9.00 USD,**\$11.70 USD**
6,CapCut Pro Subscription 1 Month (US),\$61.71 USD,**\$80.22 USD**
7,CapCut Pro Subscription 1 Month (EU),\$15.99 USD,**\$20.79 USD**
8,CapCut Pro Subscription 1 Month (EU),\$102.78 USD,**\$133.61 USD**
9,CapCut Standard Subscription 1 Month (US),\$34.21 USD,**\$44.47 USD**
10,CapCut Standard Subscription 1 Month (EU),\$54.78 USD,**\$71.21 USD**
11,CapCut Standard Subscription 1 Month (UK),\$68.50 USD,**\$89.05 USD**
12,CapCut Pro Subscription 1 Month (UK),\$102.78 USD,**\$133.61 USD**
