#,Product,Actual Price,Final Price (+30%)
15,NFLX Gift Card **USD 15** (US),\$15.00 USD,**\$19.50 USD**
16,NFLX Gift Card **USD 20** (US),\$20.00 USD,**\$26.00 USD**
17,NFLX Gift Card **USD 25** (US),\$25.00 USD,**\$32.50 USD**
18,NFLX Gift Card **USD 30** (US),\$30.00 USD,**\$39.00 USD**
19,NFLX Gift Card **USD 50** (US),\$50.00 USD,**\$65.00 USD**
20,NFLX Gift Card **USD 60** (US),\$60.00 USD,**\$78.00 USD**
21,NFLX Gift Card **USD 100** (US),\$100.00 USD,**\$130.00 USD**
22,NFLX Gift Card **EUR 25** (EU),€25.00 EUR,**€32.50 EUR**
23,NFLX Gift Card **EUR 30** (EU),€30.00 EUR,**€39.00 EUR**
24,NFLX Gift Card **EUR 35** (EU),€35.00 EUR,**€45.50 EUR**
25,NFLX Gift Card **EUR 40** (EU),€40.00 EUR,**€52.00 EUR**
26,NFLX Gift Card **EUR 45** (EU),€45.00 EUR,**€58.50 EUR**
27,NFLX Gift Card **EUR 50** (EU),€50.00 EUR,**€65.00 EUR**
28,NFLX Gift Card **EUR 75** (EU),€75.00 EUR,**€97.50 EUR**
29,NFLX Gift Card **EUR 100** (EU),€100.00 EUR,**€130.00 EUR**
30,NFLX Gift Card **EUR 25** (FR),€25.00 EUR,**€32.50 EUR**
31,NFLX Gift Card **EUR 25** (PT),€25.00 EUR,**€32.50 EUR**
32,NFLX Gift Card **EUR 50** (DE),€50.00 EUR,**€65.00 EUR**
33,NFLX Gift Card **GBP 25** (UK),£25.00 GBP,**£32.50 GBP**
34,NFLX Gift Card **TRY 750** (TR),₺750.00 TRY,**₺975.00 TRY**
35,"NFLX Gift Card **JPY 5,000** (JP)","¥5,000 JPY","**¥6,500 JPY**"
36,NFLX Gift Card **AUD 30** (AU),A\$30.00 AUD,**A\$39.00 AUD**
37,NFLX Gift Card **AUD 50** (AU),A\$50.00 AUD,**A\$65.00 AUD**
38,NFLX Gift Card **BRL 35** (BR),R\$35.00 BRL,**R\$45.50 BRL**
39,NFLX Gift Card **BRL 50** (BR),R\$50.00 BRL,**R\$65.00 BRL**
40,NFLX Gift Card **BRL 60** (BR),R\$60.00 BRL,**R\$78.00 BRL**
41,NFLX Gift Card **BRL 70** (BR),R\$70.00 BRL,**R\$91.00 BRL**
42,NFLX Gift Card **BRL 75** (BR),R\$75.00 BRL,**R\$97.50 BRL**
43,NFLX Gift Card **BRL 100** (BR),R\$100.00 BRL,**R\$130.00 BRL**
44,NFLX Gift Card **BRL 200** (BR),R\$200.00 BRL,**R\$260.00 BRL**
45,"NFLX Gift Card **COP 20,000** (CO)","\$20,000 COP","**\$26,000 COP**"
46,"NFLX Gift Card **COP 30,000** (CO)","\$30,000 COP","**\$39,000 COP**"
47,"NFLX Gift Card **COP 35,000** (CO)","\$35,000 COP","**\$45,500 COP**"
48,"NFLX Gift Card **COP 40,000** (CO)","\$40,000 COP","**\$52,000 COP**"
49,"NFLX Gift Card **COP 50,000** (CO)","\$50,000 COP","**\$65,000 COP**"
50,NFLX Gift Card **MXN 500** (MX),\$500 MXN,**\$650 MXN**
51,NFLX Gift Card **MXN 750** (MX),\$750 MXN,**\$975 MXN**
