#,Product,Actual Price,Final Price (+30%)
13,Gmail Phone Verified Account,\$0.19 USD,**\$0.25 USD**
14,Outlook Phone Verified Account,\$0.13 USD,**\$0.17 USD**
15,Hotmail Phone Verified Account,\$0.14 USD,**\$0.18 USD**
16,Hotmail New Account,\$0.14 USD,**\$0.18 USD**
17,Mail New Account,\$0.27 USD,**\$0.35 USD**
18,Firstmail New Account,\$0.07 USD,**\$0.09 USD**
19,GMX Email New Account,\$0.62 USD,**\$0.81 USD**
20,GMX Email 1 Month+ Account,\$1.23 USD,**\$1.60 USD**
21,Rambler Mail New Account,\$0.14 USD,**\$0.18 USD**
22,Offlive New Account,—,—
